
   # PLAYER                       :  RATING  ERROR      POINTS    PLAYED   (%)  CFS(%)        W        D        L  D(%)
   1 baseline.pb.gz               :    2548      0  11047254.5  14096000  78.4     100  9678823  2736863  1680314  19.4
   2 weights_run3_714639.pb.gz    :    2457      4     11382.0     22000  51.7      64     7829     7106     7065  32.3
   3 weights_run3_714689.pb.gz    :    2456      4     10170.5     20000  50.9      59     7360     5621     7019  28.1
   4 weights_run3_714683.pb.gz    :    2456      5     10215.0     20000  51.1      85     6960     6510     6530  32.5
   5 weights_run3_714584.pb.gz    :    2452      5     12543.0     24000  52.3      65     8532     8022     7446  33.4
   6 weights_run3_714578.pb.gz    :    2451      5     12446.5     24000  51.9      54     8675     7543     7782  31.4
   7 weights_run3_714635.pb.gz    :    2451      4     11216.0     22000  51.0      64     7810     6812     7378  31.0
   8 weights_run3_714679.pb.gz    :    2449      5      9912.5     20000  49.6      52     6709     6407     6884  32.0
   9 weights_run3_714694.pb.gz    :    2449      5      8969.0     18000  49.8      51     6336     5266     6398  29.3
  10 weights_run3_714641.pb.gz    :    2449      5     11126.5     22000  50.6      50     7513     7227     7260  32.9
  11 weights_run3_714688.pb.gz    :    2449      4      9944.5     20000  49.7      50     7080     5729     7191  28.6
  12 weights_run3_714700.pb.gz    :    2449      5      6935.0     14000  49.5      54     4969     3932     5099  28.1
  13 weights_run3_714678.pb.gz    :    2449      4      9902.0     20000  49.5      51     6882     6040     7078  30.2
  14 weights_run3_714580.pb.gz    :    2449      4     12391.0     24000  51.6      51     8475     7832     7693  32.6
  15 weights_run3_714680.pb.gz    :    2449      5      9892.0     20000  49.5      53     6737     6310     6953  31.6
  16 weights_run3_714690.pb.gz    :    2449      4      9922.0     20000  49.6      51     7184     5476     7340  27.4
  17 weights_run3_714643.pb.gz    :    2448      5     11122.5     22000  50.6      52     7572     7101     7327  32.3
  18 weights_run3_714601.pb.gz    :    2448      4     11380.0     22000  51.7      56     8060     6640     7300  30.2
  19 weights_run3_714685.pb.gz    :    2448      5      9978.5     20000  49.9      57     6728     6501     6771  32.5
  20 weights_run3_714671.pb.gz    :    2447      5      9992.0     20000  50.0      52     6893     6198     6909  31.0
  21 weights_run3_714699.pb.gz    :    2447      5      7835.0     16000  49.0      51     5450     4770     5780  29.8
  22 weights_run3_714636.pb.gz    :    2447      4     11054.0     22000  50.2      53     7520     7068     7412  32.1
  23 weights_run3_714586.pb.gz    :    2447      5     12337.0     24000  51.4      56     8464     7746     7790  32.3
  24 weights_run3_714564.pb.gz    :    2446      5     12271.0     24000  51.1      54     8574     7394     8032  30.8
  25 weights_run3_714692.pb.gz    :    2446      5      8873.0     18000  49.3      50     6262     5222     6516  29.0
  26 weights_run3_714652.pb.gz    :    2446      5     11014.0     22000  50.1      52     7624     6780     7596  30.8
  27 weights_run3_714573.pb.gz    :    2446      4     12226.5     24000  50.9      53     8353     7747     7900  32.3
  28 weights_run3_714656.pb.gz    :    2445      4     11041.5     22000  50.2      50     7644     6795     7561  30.9
  29 weights_run3_714698.pb.gz    :    2445      5      7847.0     16000  49.0      54     5557     4580     5863  28.6
  30 weights_run3_714574.pb.gz    :    2445      4     12160.0     24000  50.7      50     8280     7760     7960  32.3
  31 weights_run3_714695.pb.gz    :    2445      5      8855.5     18000  49.2      50     6110     5491     6399  30.5
  32 weights_run3_714681.pb.gz    :    2445      4      9875.0     20000  49.4      52     6828     6094     7078  30.5
  33 weights_run3_714575.pb.gz    :    2445      4     12124.0     24000  50.5      52     8279     7690     8031  32.0
  34 weights_run3_714585.pb.gz    :    2445      4     12195.5     24000  50.8      50     8054     8283     7663  34.5
  35 weights_run3_714697.pb.gz    :    2445      5      8839.5     18000  49.1      52     6124     5431     6445  30.2
  36 weights_run3_714571.pb.gz    :    2445      4     12237.0     24000  51.0      52     8284     7906     7810  32.9
  37 weights_run3_714696.pb.gz    :    2445      5      8876.5     18000  49.3      50     6170     5413     6417  30.1
  38 weights_run3_714619.pb.gz    :    2445      5     11086.0     22000  50.4      52     7680     6812     7508  31.0
  39 weights_run3_714677.pb.gz    :    2444      5      9902.0     20000  49.5      50     6825     6154     7021  30.8
  40 weights_run3_714545.pb.gz    :    2444      5     12290.0     24000  51.2      51     8188     8204     7608  34.2
  41 weights_run3_714634.pb.gz    :    2444      4     10998.5     22000  50.0      51     7568     6861     7571  31.2
  42 weights_run3_714632.pb.gz    :    2444      5     10988.0     22000  49.9      51     7604     6768     7628  30.8
  43 weights_run3_714682.pb.gz    :    2444      5      9764.5     20000  48.8      50     6405     6719     6876  33.6
  44 weights_run3_714628.pb.gz    :    2444      4     11093.0     22000  50.4      50     7756     6674     7570  30.3
  45 weights_run3_714565.pb.gz    :    2444      4     12242.0     24000  51.0      50     8439     7606     7955  31.7
  46 weights_run3_714548.pb.gz    :    2444      4     12218.5     24000  50.9      50     8295     7847     7858  32.7
  47 weights_run3_714606.pb.gz    :    2444      4     11128.5     22000  50.6      51     7716     6825     7459  31.0
  48 weights_run3_714582.pb.gz    :    2444      5     12215.0     24000  50.9      50     8435     7560     8005  31.5
  49 weights_run3_714543.pb.gz    :    2444      5     12257.0     24000  51.1      52     8235     8044     7721  33.5
  50 weights_run3_714676.pb.gz    :    2444      5      9867.5     20000  49.3      51     6732     6271     6997  31.4
  51 weights_run3_714602.pb.gz    :    2444      4     11157.0     22000  50.7      54     7761     6792     7447  30.9
  52 weights_run3_714622.pb.gz    :    2443      5     11026.5     22000  50.1      51     7671     6711     7618  30.5
  53 weights_run3_714633.pb.gz    :    2443      5     10942.0     22000  49.7      52     7648     6588     7764  29.9
  54 weights_run3_714648.pb.gz    :    2443      4     10921.0     22000  49.6      54     7472     6898     7630  31.4
  55 weights_run3_714669.pb.gz    :    2443      5     10795.0     22000  49.1      50     7288     7014     7698  31.9
  56 weights_run3_714665.pb.gz    :    2443      4     10833.5     22000  49.2      51     7221     7225     7554  32.8
  57 weights_run3_714594.pb.gz    :    2443      5     12120.0     24000  50.5      51     8257     7726     8017  32.2
  58 weights_run3_714530.pb.gz    :    2443      4     12317.5     24000  51.3      51     8196     8243     7561  34.3
  59 weights_run3_714691.pb.gz    :    2443      5      8779.0     18000  48.8      51     6367     4824     6809  26.8
  60 weights_run3_714657.pb.gz    :    2443      5     10986.0     22000  49.9      52     7646     6680     7674  30.4
  61 weights_run3_714460.pb.gz    :    2442      4     12613.5     24000  52.6      50     9195     6837     7968  28.5
  62 weights_run3_714651.pb.gz    :    2442      4     10873.5     22000  49.4      50     7491     6765     7744  30.8
  63 weights_run3_714592.pb.gz    :    2442      4     12141.5     24000  50.6      50     8272     7739     7989  32.2
  64 weights_run3_714666.pb.gz    :    2442      4     10805.5     22000  49.1      51     7298     7015     7687  31.9
  65 weights_run3_714550.pb.gz    :    2442      5     12124.0     24000  50.5      50     8097     8054     7849  33.6
  66 weights_run3_714693.pb.gz    :    2442      5      8768.0     18000  48.7      51     6150     5236     6614  29.1
  67 weights_run3_714650.pb.gz    :    2442      4     10885.0     22000  49.5      53     7224     7322     7454  33.3
  68 weights_run3_714524.pb.gz    :    2442      4     12336.5     24000  51.4      51     8107     8459     7434  35.2
  69 weights_run3_714686.pb.gz    :    2442      5      9658.0     20000  48.3      52     6552     6212     7236  31.1
  70 weights_run3_714453.pb.gz    :    2442      4     12678.0     24000  52.8      51     9199     6958     7843  29.0
  71 weights_run3_714642.pb.gz    :    2442      4     10766.0     22000  48.9      50     7316     6900     7784  31.4
  72 weights_run3_714547.pb.gz    :    2442      4     12228.0     24000  51.0      51     8077     8302     7621  34.6
  73 weights_run3_714615.pb.gz    :    2442      5     11046.0     22000  50.2      50     7709     6674     7617  30.3
  74 weights_run3_714649.pb.gz    :    2441      5     10761.5     22000  48.9      50     7202     7119     7679  32.4
  75 weights_run3_714532.pb.gz    :    2441      4     12218.5     24000  50.9      50     8128     8181     7691  34.1
  76 weights_run3_714566.pb.gz    :    2441      4     12139.5     24000  50.6      51     8188     7903     7909  32.9
  77 weights_run3_714608.pb.gz    :    2441      4     11044.5     22000  50.2      50     7596     6897     7507  31.4
  78 weights_run3_714549.pb.gz    :    2441      5     12131.5     24000  50.5      50     8143     7977     7880  33.2
  79 weights_run3_714576.pb.gz    :    2441      5     12067.5     24000  50.3      50     8056     8023     7921  33.4
  80 weights_run3_714529.pb.gz    :    2441      4     12234.5     24000  51.0      51     8190     8089     7721  33.7
  81 weights_run3_714579.pb.gz    :    2441      5     11992.5     24000  50.0      51     8073     7839     8088  32.7
  82 weights_run3_714533.pb.gz    :    2441      4     12187.0     24000  50.8      51     8166     8042     7792  33.5
  83 weights_run3_714644.pb.gz    :    2441      5     10831.5     22000  49.2      51     7187     7289     7524  33.1
  84 weights_run3_714561.pb.gz    :    2441      4     12112.5     24000  50.5      51     8371     7483     8146  31.2
  85 weights_run3_714667.pb.gz    :    2441      5     10803.0     22000  49.1      50     7365     6876     7759  31.3
  86 weights_run3_714675.pb.gz    :    2441      5      9797.5     20000  49.0      51     6675     6245     7080  31.2
  87 weights_run3_714569.pb.gz    :    2441      4     12125.0     24000  50.5      50     7990     8270     7740  34.5
  88 weights_run3_714560.pb.gz    :    2441      4     12052.0     24000  50.2      52     8154     7796     8050  32.5
  89 weights_run3_714609.pb.gz    :    2441      5     10927.0     22000  49.7      52     7409     7036     7555  32.0
  90 weights_run3_714668.pb.gz    :    2441      5     10789.0     22000  49.0      51     7395     6788     7817  30.9
  91 weights_run3_714624.pb.gz    :    2440      4     10998.5     22000  50.0      50     7346     7305     7349  33.2
  92 weights_run3_714572.pb.gz    :    2440      4     12042.0     24000  50.2      51     7935     8214     7851  34.2
  93 weights_run3_714610.pb.gz    :    2440      4     11024.0     22000  50.1      51     7642     6764     7594  30.7
  94 weights_run3_714684.pb.gz    :    2440      5      9709.5     20000  48.5      50     6656     6107     7237  30.5
  95 weights_run3_714546.pb.gz    :    2440      4     12104.0     24000  50.4      50     7967     8274     7759  34.5
  96 weights_run3_714670.pb.gz    :    2440      4     10760.5     22000  48.9      51     7398     6725     7877  30.6
  97 weights_run3_714660.pb.gz    :    2440      5     10813.5     22000  49.2      53     7365     6897     7738  31.4
  98 weights_run3_714687.pb.gz    :    2440      5      9727.5     20000  48.6      51     6693     6069     7238  30.3
  99 weights_run3_714603.pb.gz    :    2440      4     11063.5     22000  50.3      50     7847     6433     7720  29.2
 100 weights_run3_714611.pb.gz    :    2440      4     10979.0     22000  49.9      51     7571     6816     7613  31.0
 101 weights_run3_714631.pb.gz    :    2440      5     10837.0     22000  49.3      51     7412     6850     7738  31.1
 102 weights_run3_714673.pb.gz    :    2440      5      9759.5     20000  48.8      51     6660     6199     7141  31.0
 103 weights_run3_714623.pb.gz    :    2440      4     10977.5     22000  49.9      51     7438     7079     7483  32.2
 104 weights_run3_714559.pb.gz    :    2439      4     12046.5     24000  50.2      50     8097     7899     8004  32.9
 105 weights_run3_714450.pb.gz    :    2439      4     12517.5     24000  52.2      52     9188     6659     8153  27.7
 106 weights_run3_714672.pb.gz    :    2439      5      9765.0     20000  48.8      51     6714     6102     7184  30.5
 107 weights_run3_714664.pb.gz    :    2439      4     10776.0     22000  49.0      51     7219     7114     7667  32.3
 108 weights_run3_714544.pb.gz    :    2439      4     12088.0     24000  50.4      50     7914     8348     7738  34.8
 109 weights_run3_714590.pb.gz    :    2439      4     12117.0     24000  50.5      52     8259     7716     8025  32.1
 110 weights_run3_714630.pb.gz    :    2439      4     10920.5     22000  49.6      51     7553     6735     7712  30.6
 111 weights_run3_714599.pb.gz    :    2439      5     12071.5     24000  50.3      50     8290     7563     8147  31.5
 112 weights_run3_714645.pb.gz    :    2439      4     10745.0     22000  48.8      51     7110     7270     7620  33.0
 113 weights_run3_714523.pb.gz    :    2439      4     12255.5     24000  51.1      51     8065     8381     7554  34.9
 114 weights_run3_714593.pb.gz    :    2439      4     12036.5     24000  50.2      55     8273     7527     8200  31.4
 115 weights_run3_714618.pb.gz    :    2438      4     10875.0     22000  49.4      51     7554     6642     7804  30.2
 116 weights_run3_714614.pb.gz    :    2438      5     10930.0     22000  49.7      51     7594     6672     7734  30.3
 117 weights_run3_714531.pb.gz    :    2438      4     12148.0     24000  50.6      50     8128     8040     7832  33.5
 118 weights_run3_714583.pb.gz    :    2438      4     11897.0     24000  49.6      52     8082     7630     8288  31.8
 119 weights_run3_714556.pb.gz    :    2438      4     12000.0     24000  50.0      51     8073     7854     8073  32.7
 120 weights_run3_714620.pb.gz    :    2438      4     10909.0     22000  49.6      50     7416     6986     7598  31.8
 121 weights_run3_714607.pb.gz    :    2438      4     10986.0     22000  49.9      52     7565     6842     7593  31.1
 122 weights_run3_714570.pb.gz    :    2438      4     11992.5     24000  50.0      51     7867     8251     7882  34.4
 123 weights_run3_714506.pb.gz    :    2438      5     12345.0     24000  51.4      50     8334     8022     7644  33.4
 124 weights_run3_714629.pb.gz    :    2438      5     10740.0     22000  48.8      50     7398     6684     7918  30.4
 125 weights_run3_714638.pb.gz    :    2438      5     10668.5     22000  48.5      51     7349     6639     8012  30.2
 126 weights_run3_714658.pb.gz    :    2437      4     10745.0     22000  48.8      51     7314     6862     7824  31.2
 127 weights_run3_714551.pb.gz    :    2437      5     12045.5     24000  50.2      51     8020     8051     7929  33.5
 128 weights_run3_714563.pb.gz    :    2437      4     12030.0     24000  50.1      51     8183     7694     8123  32.1
 129 weights_run3_714567.pb.gz    :    2437      4     12029.0     24000  50.1      50     8011     8036     7953  33.5
