
   # PLAYER                       :  RATING  ERROR     POINTS    PLAYED   (%)  CFS(%)        W       D        L  D(%)
   1 baseline.pb.gz               :    2539      0  9757768.0  12748000  76.5      94  9614667  286202  2847131   2.2
   2 weights_run3_714584.pb.gz    :    2530     11     3025.0      6000  50.4      57     2896     258     2846   4.3
   3 weights_run3_714570.pb.gz    :    2529     10     3006.0      6000  50.1      50     2887     238     2875   4.0
   4 weights_run3_714572.pb.gz    :    2529     11     2979.5      6000  49.7      56     2883     193     2924   3.2
   5 weights_run3_714573.pb.gz    :    2528     10     2997.0      6000  50.0      54     2896     202     2902   3.4
   6 weights_run3_714586.pb.gz    :    2527     10     3015.5      6000  50.3      50     2858     315     2827   5.3
   7 weights_run3_714571.pb.gz    :    2527      9     2956.5      6000  49.3      51     2849     215     2936   3.6
   8 weights_run3_714517.pb.gz    :    2527     11     3012.5      6000  50.2      53     2917     191     2892   3.2
   9 weights_run3_714583.pb.gz    :    2527     10     2962.5      6000  49.4      54     2862     201     2937   3.4
  10 weights_run3_714629.pb.gz    :    2526     10     3049.5      6000  50.8      56     2913     273     2814   4.5
  11 weights_run3_714575.pb.gz    :    2525     11     2999.5      6000  50.0      51     2893     213     2894   3.5
  12 weights_run3_714519.pb.gz    :    2524     10     2997.0      6000  50.0      53     2859     276     2865   4.6
  13 weights_run3_714581.pb.gz    :    2524     10     2965.0      6000  49.4      52     2864     202     2934   3.4
  14 weights_run3_714582.pb.gz    :    2523     10     2946.0      6000  49.1      56     2851     190     2959   3.2
  15 weights_run3_714656.pb.gz    :    2522     10     3015.5      6000  50.3      51     2889     253     2858   4.2
  16 weights_run3_714700.pb.gz    :    2522     10     1967.0      4000  49.2      50     1895     144     1961   3.6
  17 weights_run3_714551.pb.gz    :    2522     10     2983.5      6000  49.7      52     2871     225     2904   3.8
  18 weights_run3_714557.pb.gz    :    2522     10     2989.5      6000  49.8      51     2881     217     2902   3.6
  19 weights_run3_714499.pb.gz    :    2522     10     3003.5      6000  50.1      53     2902     203     2895   3.4
  20 weights_run3_714580.pb.gz    :    2521     10     2954.5      6000  49.2      50     2838     233     2929   3.9
  21 weights_run3_714514.pb.gz    :    2521     10     2965.0      6000  49.4      52     2857     216     2927   3.6
  22 weights_run3_714587.pb.gz    :    2521     11     2967.5      6000  49.5      51     2849     237     2914   4.0
  23 weights_run3_714698.pb.gz    :    2521     10     2964.5      6000  49.4      51     2837     255     2908   4.3
  24 weights_run3_714512.pb.gz    :    2521     11     2985.0      6000  49.8      51     2880     210     2910   3.5
  25 weights_run3_714518.pb.gz    :    2520     10     2917.0      6000  48.6      55     2802     230     2968   3.8
  26 weights_run3_714500.pb.gz    :    2520      8     2972.5      6000  49.5      53     2862     221     2917   3.7
  27 weights_run3_714569.pb.gz    :    2519     10     2928.5      6000  48.8      50     2814     229     2957   3.8
  28 weights_run3_714414.pb.gz    :    2519     10     3111.5      6000  51.9      51     3021     181     2798   3.0
  29 weights_run3_714513.pb.gz    :    2519     10     2930.0      6000  48.8      51     2829     202     2969   3.4
  30 weights_run3_714522.pb.gz    :    2519     10     2994.5      6000  49.9      51     2877     235     2888   3.9
  31 weights_run3_714561.pb.gz    :    2518      8     2993.5      6000  49.9      50     2877     233     2890   3.9
  32 weights_run3_714697.pb.gz    :    2518     10     2959.5      6000  49.3      51     2871     177     2952   3.0
  33 weights_run3_714515.pb.gz    :    2518      9     2935.0      6000  48.9      52     2835     200     2965   3.3
  34 weights_run3_714576.pb.gz    :    2518     11     2940.0      6000  49.0      51     2840     200     2960   3.3
  35 weights_run3_714509.pb.gz    :    2518     12     2988.0      6000  49.8      52     2865     246     2889   4.1
  36 weights_run3_714516.pb.gz    :    2517     10     2908.5      6000  48.5      51     2826     165     3009   2.8
  37 weights_run3_714699.pb.gz    :    2517     11     2914.0      6000  48.6      51     2779     270     2951   4.5
  38 weights_run3_714550.pb.gz    :    2517     10     2952.0      6000  49.2      50     2836     232     2932   3.9
  39 weights_run3_714574.pb.gz    :    2517     11     2885.0      6000  48.1      50     2781     208     3011   3.5
  40 weights_run3_714579.pb.gz    :    2517     10     2927.0      6000  48.8      51     2813     228     2959   3.8
  41 weights_run3_714585.pb.gz    :    2517      8     2868.0      6000  47.8      50     2713     310     2977   5.2
  42 weights_run3_714552.pb.gz    :    2517      9     2943.0      6000  49.0      52     2829     228     2943   3.8
  43 weights_run3_714578.pb.gz    :    2516     10     2949.0      6000  49.1      51     2819     260     2921   4.3
  44 weights_run3_714506.pb.gz    :    2516      9     3010.5      6000  50.2      50     2920     181     2899   3.0
  45 weights_run3_714657.pb.gz    :    2516      9     2934.0      6000  48.9      51     2791     286     2923   4.8
  46 weights_run3_714556.pb.gz    :    2516     10     2920.5      6000  48.7      53     2816     209     2975   3.5
  47 weights_run3_714524.pb.gz    :    2516     11     2951.5      6000  49.2      52     2831     241     2928   4.0
  48 weights_run3_714525.pb.gz    :    2515     11     2962.0      6000  49.4      51     2844     236     2920   3.9
  49 weights_run3_714555.pb.gz    :    2515     11     2933.0      6000  48.9      51     2820     226     2954   3.8
