Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)
      weights_run3_714584.pb.gz       :      2000 (    1020,     46,     934),  52.1 :     +9,    5,   94.4
      weights_run3_714570.pb.gz       :      2000 (    1012,     32,     956),  51.4 :    +10,    5,   97.6
      weights_run3_714572.pb.gz       :      2000 (     998,     45,     957),  51.0 :    +10,    6,   95.8
      weights_run3_714573.pb.gz       :      2000 (     986,     73,     941),  51.1 :    +11,    5,   98.2
      weights_run3_714586.pb.gz       :      2000 (    1001,     61,     938),  51.6 :    +12,    5,   99.0
      weights_run3_714571.pb.gz       :      2000 (    1007,     45,     948),  51.5 :    +12,    5,   99.3
      weights_run3_714517.pb.gz       :      2000 (     994,     46,     960),  50.9 :    +12,    6,   98.4
      weights_run3_714583.pb.gz       :      2000 (    1010,     39,     951),  51.5 :    +12,    5,   99.3
      weights_run3_714629.pb.gz       :      2000 (    1029,     67,     904),  53.1 :    +13,    5,   99.4
      weights_run3_714575.pb.gz       :      2000 (    1024,     49,     927),  52.4 :    +14,    6,   99.3
      weights_run3_714519.pb.gz       :      2000 (    1012,     59,     929),  52.1 :    +15,    5,   99.8
      weights_run3_714581.pb.gz       :      2000 (    1028,     44,     928),  52.5 :    +15,    5,   99.9
      weights_run3_714582.pb.gz       :      2000 (    1029,     67,     904),  53.1 :    +16,    5,   99.8
      weights_run3_714656.pb.gz       :      2000 (    1054,     45,     901),  53.8 :    +17,    5,  100.0
      weights_run3_714700.pb.gz       :      2000 (    1008,     39,     953),  51.4 :    +17,    5,   99.9
      weights_run3_714551.pb.gz       :      2000 (    1038,     40,     922),  52.9 :    +17,    5,  100.0
      weights_run3_714557.pb.gz       :      2000 (    1000,     38,     962),  51.0 :    +17,    5,   99.9
      weights_run3_714499.pb.gz       :      2000 (    1020,     38,     942),  52.0 :    +17,    5,  100.0
      weights_run3_714580.pb.gz       :      2000 (    1002,     42,     956),  51.1 :    +18,    5,  100.0
      weights_run3_714514.pb.gz       :      2000 (    1036,     44,     920),  52.9 :    +18,    5,  100.0
      weights_run3_714587.pb.gz       :      2000 (    1020,     44,     936),  52.1 :    +18,    6,   99.9
      weights_run3_714698.pb.gz       :      2000 (    1026,     54,     920),  52.6 :    +18,    5,  100.0
      weights_run3_714512.pb.gz       :      2000 (    1020,     42,     938),  52.0 :    +18,    5,  100.0
      weights_run3_714518.pb.gz       :      2000 (    1021,     42,     937),  52.1 :    +19,    5,  100.0
      weights_run3_714500.pb.gz       :      2000 (    1044,     51,     905),  53.5 :    +19,    4,  100.0
      weights_run3_714569.pb.gz       :      2000 (    1008,     47,     945),  51.6 :    +20,    5,  100.0
      weights_run3_714414.pb.gz       :      2000 (    1035,     29,     936),  52.5 :    +20,    5,  100.0
      weights_run3_714513.pb.gz       :      2000 (    1066,     40,     894),  54.3 :    +20,    5,  100.0
      weights_run3_714522.pb.gz       :      2000 (    1060,     39,     901),  54.0 :    +20,    5,  100.0
      weights_run3_714561.pb.gz       :      2000 (    1027,     30,     943),  52.1 :    +21,    4,  100.0
      weights_run3_714697.pb.gz       :      2000 (    1046,     38,     916),  53.3 :    +21,    5,  100.0
      weights_run3_714515.pb.gz       :      2000 (    1068,     50,     882),  54.6 :    +21,    5,  100.0
      weights_run3_714576.pb.gz       :      2000 (    1049,     53,     898),  53.8 :    +21,    5,  100.0
      weights_run3_714509.pb.gz       :      2000 (    1031,     34,     935),  52.4 :    +21,    6,  100.0
      weights_run3_714516.pb.gz       :      2000 (     997,     34,     969),  50.7 :    +22,    5,  100.0
      weights_run3_714699.pb.gz       :      2000 (    1050,     40,     910),  53.5 :    +22,    5,  100.0
